Team,Penalty,NDate,Opponent,Player,Position,Week,Year,PenaltyIndex,HTeam,VTeam,key,Date,Exp,HPen,HPenYd,LastName,RefPosition,VPen,VPenYd
BUF,Illegal Motion,11/13/2011,DAL,C.Spiller,RB,10.0,2011.0,BUF-2011-49,DAL,BUF,11-13-2011-DAL,2011-11-13,181.0,8.0,74.0,Boger,Referee,3.0,12.0
BUF,Defensive Holding,11/13/2011,DAL,T.Troup,DT,10.0,2011.0,BUF-2011-50,DAL,BUF,11-13-2011-DAL,2011-11-13,181.0,8.0,74.0,Boger,Referee,3.0,12.0
BUF,Illegal Contact,11/20/2011,MIA,K.Sheppard,MLB,11.0,2011.0,BUF-2011-51,MIA,BUF,11-20-2011-MIA,2011-11-20,261.0,4.0,50.0,Coleman,Referee,3.0,27.0
BUF,Illegal Block Above the Waist,11/20/2011,MIA,R.Martin,WR,11.0,2011.0,BUF-2011-52,MIA,BUF,11-20-2011-MIA,2011-11-20,261.0,4.0,50.0,Coleman,Referee,3.0,27.0
BUF,Unnecessary Roughness,11/20/2011,MIA,C.McIntyre,FB,11.0,2011.0,BUF-2011-53,MIA,BUF,11-20-2011-MIA,2011-11-20,261.0,4.0,50.0,Coleman,Referee,3.0,27.0
BUF,Defensive Holding,11/20/2011,MIA,D.Florence,DB,11.0,2011.0,BUF-2011-54,MIA,BUF,11-20-2011-MIA,2011-11-20,261.0,4.0,50.0,Coleman,Referee,3.0,27.0
BUF,Offensive Pass Interference,11/20/2011,MIA,M.Caussin,TE,11.0,2011.0,BUF-2011-55,MIA,BUF,11-20-2011-MIA,2011-11-20,261.0,4.0,50.0,Coleman,Referee,3.0,27.0
BUF,Offensive Holding,12/04/2011,TEN,C.McIntyre,FB,13.0,2011.0,BUF-2011-65,TEN,BUF,12-04-2011-TEN,,,,,,,,
BUF,Illegal Use of Hands,12/04/2011,TEN,C.Hairston,T,13.0,2011.0,BUF-2011-66,TEN,BUF,12-04-2011-TEN,,,,,,,,
BUF,Neutral Zone Infraction,12/04/2011,TEN,A.Moats,OLB,13.0,2011.0,BUF-2011-67,TEN,BUF,12-04-2011-TEN,,,,,,,,
BUF,Unnecessary Roughness,12/04/2011,TEN,D.Florence,DB,13.0,2011.0,BUF-2011-68,TEN,BUF,12-04-2011-TEN,,,,,,,,
BUF,Offensive Holding,12/04/2011,TEN,A.Levitre,G,13.0,2011.0,BUF-2011-69,TEN,BUF,12-04-2011-TEN,,,,,,,,
BUF,Defensive Holding,12/11/2011,SD,B.Scott,DB,14.0,2011.0,BUF-2011-70,SD,BUF,12-11-2011-SD,2011-12-11,201.0,5.0,50.0,Steratore,Referee,1.0,5.0
BUF,Offensive Holding,12/11/2011,SD,L.Smith,TE,14.0,2011.0,BUF-2011-71,SD,BUF,12-11-2011-SD,2011-12-11,201.0,5.0,50.0,Steratore,Referee,1.0,5.0
BUF,Offensive Holding,12/18/2011,MIA,E.Pears,T,15.0,2011.0,BUF-2011-72,MIA,BUF,12-18-2011-MIA,,,,,,,,
BUF,Illegal Block Above the Waist,12/18/2011,MIA,D.Batten,LB,15.0,2011.0,BUF-2011-73,MIA,BUF,12-18-2011-MIA,,,,,,,,
BUF,Face Mask (15 Yards),12/18/2011,MIA,E.Pears,T,15.0,2011.0,BUF-2011-74,MIA,BUF,12-18-2011-MIA,,,,,,,,
BUF,False Start,12/18/2011,MIA,C.Hairston,T,15.0,2011.0,BUF-2011-75,MIA,BUF,12-18-2011-MIA,,,,,,,,
BUF,Offensive Holding,12/18/2011,MIA,D.Hagan,WR,15.0,2011.0,BUF-2011-76,MIA,BUF,12-18-2011-MIA,,,,,,,,
BUF,Personal Foul,12/18/2011,MIA,D.Florence,DB,15.0,2011.0,BUF-2011-77,MIA,BUF,12-18-2011-MIA,,,,,,,,
BUF,Defensive Holding,12/18/2011,MIA,K.Sheppard,MLB,15.0,2011.0,BUF-2011-78,MIA,BUF,12-18-2011-MIA,,,,,,,,
BUF,Defensive Pass Interference,12/18/2011,MIA,D.Florence,DB,15.0,2011.0,BUF-2011-79,MIA,BUF,12-18-2011-MIA,,,,,,,,
BUF,Offensive Holding,12/18/2011,MIA,B.Smith,WR,15.0,2011.0,BUF-2011-80,MIA,BUF,12-18-2011-MIA,,,,,,,,
BUF,Offensive Holding,12/18/2011,MIA,M.Caussin,TE,15.0,2011.0,BUF-2011-81,MIA,BUF,12-18-2011-MIA,,,,,,,,
BUF,False Start,12/18/2011,MIA,K.Urbik,G,15.0,2011.0,BUF-2011-82,MIA,BUF,12-18-2011-MIA,,,,,,,,
BUF,False Start,12/18/2011,MIA,A.Carrington,DE,15.0,2011.0,BUF-2011-83,MIA,BUF,12-18-2011-MIA,,,,,,,,
BUF,Defensive Offside,12/24/2011,DEN,L.McKelvin,CB,16.0,2011.0,BUF-2011-84,DEN,BUF,12-24-2011-DEN,,,,,,,,
BUF,Offensive Holding,12/24/2011,DEN,A.Levitre,G,16.0,2011.0,BUF-2011-85,DEN,BUF,12-24-2011-DEN,,,,,,,,
BUF,False Start,12/24/2011,DEN,Sp.Johnson,DT,16.0,2011.0,BUF-2011-86,DEN,BUF,12-24-2011-DEN,,,,,,,,
BUF,Defensive Offside,12/24/2011,DEN,K.Heard,DT,16.0,2011.0,BUF-2011-87,DEN,BUF,12-24-2011-DEN,,,,,,,,
BUF,Defensive Holding,12/24/2011,DEN,A.Williams,FS,16.0,2011.0,BUF-2011-88,DEN,BUF,12-24-2011-DEN,,,,,,,,
BUF,Defensive Pass Interference,12/24/2011,DEN,A.Williams,FS,16.0,2011.0,BUF-2011-89,DEN,BUF,12-24-2011-DEN,,,,,,,,
BUF,Defensive Offside,12/24/2011,DEN,A.Moats,OLB,16.0,2011.0,BUF-2011-90,DEN,BUF,12-24-2011-DEN,,,,,,,,
BUF,Offensive Holding,01/01/2012,NE,A.Levitre,G,17.0,2011.0,BUF-2011-91,NE,BUF,01-01-2012-NE,2012-01-01,245.0,4.0,77.0,Leavy,Referee,5.0,45.0
BUF,Unsportsmanlike Conduct,01/01/2012,NE,S.Johnson,WR,17.0,2011.0,BUF-2011-92,NE,BUF,01-01-2012-NE,2012-01-01,245.0,4.0,77.0,Leavy,Referee,5.0,45.0
BUF,Illegal Contact,01/01/2012,NE,D.Searcy,DB,17.0,2011.0,BUF-2011-93,NE,BUF,01-01-2012-NE,2012-01-01,245.0,4.0,77.0,Leavy,Referee,5.0,45.0
BUF,Offensive Holding,01/01/2012,NE,A.Levitre,G,17.0,2011.0,BUF-2011-94,NE,BUF,01-01-2012-NE,2012-01-01,245.0,4.0,77.0,Leavy,Referee,5.0,45.0
BUF,Defensive Holding,01/01/2012,NE,A.Williams,FS,17.0,2011.0,BUF-2011-95,NE,BUF,01-01-2012-NE,2012-01-01,245.0,4.0,77.0,Leavy,Referee,5.0,45.0
BUF,Personal Foul,01/01/2012,NE,D.Florence,DB,17.0,2011.0,BUF-2011-96,NE,BUF,01-01-2012-NE,2012-01-01,245.0,4.0,77.0,Leavy,Referee,5.0,45.0
BUF,Delay of Game,01/01/2012,NE,R.Fitzpatrick,QB,17.0,2011.0,BUF-2011-97,NE,BUF,01-01-2012-NE,2012-01-01,245.0,4.0,77.0,Leavy,Referee,5.0,45.0
BUF,Illegal Contact,01/01/2012,NE,K.Morrison,LB,17.0,2011.0,BUF-2011-98,NE,BUF,01-01-2012-NE,2012-01-01,245.0,4.0,77.0,Leavy,Referee,5.0,45.0
MIA,Offensive Holding,09/12/2011,NE,A.Fasano,TE,1.0,2011.0,MIA-2011-0,NE,MIA,09-12-2011-NE,,,,,,,,
MIA,Offensive Holding,09/12/2011,NE,R.Incognito,C,1.0,2011.0,MIA-2011-1,NE,MIA,09-12-2011-NE,,,,,,,,
MIA,Defensive Offside,09/12/2011,NE,P.Merling,DE,1.0,2011.0,MIA-2011-2,NE,MIA,09-12-2011-NE,,,,,,,,
MIA,Offensive Holding,09/12/2011,NE,R.Wallace,WR,1.0,2011.0,MIA-2011-3,NE,MIA,09-12-2011-NE,,,,,,,,
MIA,Offensive Holding,09/12/2011,NE,R.Incognito,C,1.0,2011.0,MIA-2011-4,NE,MIA,09-12-2011-NE,,,,,,,,
MIA,Encroachment,09/12/2011,NE,R.Starks,DT,1.0,2011.0,MIA-2011-5,NE,MIA,09-12-2011-NE,,,,,,,,
