PenaltyIndex,team,penalty,game,opponent,player,position,week
CAR-2015-64,CAR,Unnecessary Roughness,11/22/2015,Washington,B.Jacobs,LB,11-2015
CAR-2015-65,CAR,False Start,11/22/2015,Washington,M.Remmers,T,11-2015
CAR-2015-66,CAR,Illegal Block Above the Waist,11/22/2015,Washington,T.Williams,DB,11-2015
CAR-2015-67,CAR,Defensive Delay of Game,11/22/2015,Washington,B.Nortman,P,11-2015
CAR-2015-68,CAR,Offensive Holding,11/26/2015,Dallas,R.Kalil,C,12-2015
CAR-2015-69,CAR,Delay of Game,11/26/2015,Dallas,C.Newton,QB,12-2015
CAR-2015-70,CAR,Illegal Shift,11/26/2015,Dallas,T.Ginn,WR,12-2015
CAR-2015-71,CAR,False Start,11/26/2015,Dallas,C.Scott,G,12-2015
CAR-2015-72,CAR,Offensive Holding,11/26/2015,Dallas,T.Turner,G,12-2015
CAR-2015-73,CAR,Offensive Holding,11/26/2015,Dallas,T.Turner,G,12-2015
CAR-2015-74,CAR,Unsportsmanlike Conduct,11/26/2015,Dallas,J.Norman,CB,12-2015
CAR-2015-75,CAR,Delay of Game,11/26/2015,Dallas,C.Newton,QB,12-2015
CAR-2015-76,CAR,False Start,12/06/2015,New Orleans,M.Remmers,T,13-2015
CAR-2015-77,CAR,Offensive Holding,12/06/2015,New Orleans,M.Remmers,T,13-2015
CAR-2015-78,CAR,Neutral Zone Infraction,12/06/2015,New Orleans,K.Ealy,DE,13-2015
CAR-2015-79,CAR,Neutral Zone Infraction,12/06/2015,New Orleans,K.Ealy,DE,13-2015
CAR-2015-80,CAR,Defensive Pass Interference,12/06/2015,New Orleans,B.Benwikere,CB,13-2015
CAR-2015-81,CAR,Offensive Holding,12/06/2015,New Orleans,M.Remmers,T,13-2015
CAR-2015-82,CAR,Illegal Use of Hands,12/06/2015,New Orleans,K.Ealy,DE,13-2015
CAR-2015-83,CAR,Offensive Holding,12/06/2015,New Orleans,T.Williams,DB,13-2015
CAR-2015-84,CAR,Offensive Holding,12/13/2015,Atlanta,R.Kalil,C,14-2015
CAR-2015-85,CAR,Defensive Offside,12/13/2015,Atlanta,K.Ealy,DE,14-2015
CAR-2015-86,CAR,Unsportsmanlike Conduct,12/13/2015,Atlanta,R.Harper,SS,14-2015
CAR-2015-87,CAR,Offensive Holding,12/13/2015,Atlanta,M.Remmers,T,14-2015
CAR-2015-88,CAR,Illegal Use of Hands,12/13/2015,Atlanta,M.Remmers,T,14-2015
CAR-2015-89,CAR,Defensive Holding,12/13/2015,Atlanta,C.Finnegan,CB,14-2015
CAR-2015-90,CAR,Unnecessary Roughness,12/13/2015,Atlanta,B.Benwikere,CB,14-2015
CAR-2015-91,CAR,Illegal Formation,12/13/2015,Atlanta,D.Funchess,WR,14-2015
CAR-2015-92,CAR,Illegal Formation,12/13/2015,Atlanta,D.Funchess,WR,14-2015
CAR-2015-93,CAR,Defensive Pass Interference,12/20/2015,N.Y. Giants,L.Kuechly,MLB,15-2015
