PenaltyIndex,team,penalty,game,opponent,player,position,week
CIN-2015-64,CIN,Defensive Offside,11/05/2015,Cleveland,G.Atkins,DT,9-2015
CIN-2015-65,CIN,Illegal Block Above the Waist,11/05/2015,Cleveland,M.Hunt,DE,9-2015
CIN-2015-66,CIN,Offensive Holding,11/16/2015,Houston,R.Hewitt,TE,10-2015
CIN-2015-67,CIN,False Start,11/16/2015,Houston,C.Boling,G,10-2015
CIN-2015-68,CIN,False Start,11/16/2015,Houston,T.Eifert,TE,10-2015
CIN-2015-69,CIN,Defensive Holding,11/16/2015,Houston,T.Kroft,TE,10-2015
CIN-2015-70,CIN,Offensive Holding,11/16/2015,Houston,T.Kroft,TE,10-2015
CIN-2015-71,CIN,Offensive Holding,11/16/2015,Houston,E.Winston,T,10-2015
CIN-2015-72,CIN,Illegal Formation,11/16/2015,Houston,A.Whitworth,T,10-2015
CIN-2015-73,CIN,Illegal Use of Hands,11/16/2015,Houston,D.Kirkpatrick,CB,10-2015
CIN-2015-74,CIN,Roughing the Passer,11/16/2015,Houston,V.Rey,OLB,10-2015
CIN-2015-75,CIN,False Start,11/16/2015,Houston,M.Jones,WR,10-2015
CIN-2015-76,CIN,Taunting,11/22/2015,Arizona,J.Hill,RB,11-2015
CIN-2015-77,CIN,Illegal Block Above the Waist,11/22/2015,Arizona,D.Kirkpatrick,CB,11-2015
CIN-2015-78,CIN,Offensive Holding,11/22/2015,Arizona,A.Smith,T,11-2015
CIN-2015-79,CIN,Unnecessary Roughness,11/22/2015,Arizona,G.Iloka,SS,11-2015
CIN-2015-80,CIN,Illegal Use of Hands,11/22/2015,Arizona,V.Burfict,OLB,11-2015
CIN-2015-81,CIN,Unnecessary Roughness,11/22/2015,Arizona,A.Smith,T,11-2015
CIN-2015-82,CIN,Illegal Touch Pass,11/22/2015,Arizona,M.Jones,WR,11-2015
CIN-2015-83,CIN,Delay of Game,11/22/2015,Arizona,M.Sanu,WR,11-2015
CIN-2015-84,CIN,Defensive Pass Interference,11/22/2015,Arizona,D.Kirkpatrick,CB,11-2015
CIN-2015-85,CIN,Unsportsmanlike Conduct,11/22/2015,Arizona,D.Peko,DT,11-2015
CIN-2015-86,CIN,Unnecessary Roughness,11/29/2015,St. Louis,S.Williams,SS,12-2015
CIN-2015-87,CIN,Illegal Block Above the Waist,11/29/2015,St. Louis,K.Zeitler,G,12-2015
CIN-2015-88,CIN,Offensive Holding,11/29/2015,St. Louis,C.Boling,G,12-2015
CIN-2015-89,CIN,Defensive Holding,11/29/2015,St. Louis,D.Kirkpatrick,CB,12-2015
CIN-2015-90,CIN,Unnecessary Roughness,11/29/2015,St. Louis,V.Burfict,OLB,12-2015
CIN-2015-91,CIN,Defensive Holding,11/29/2015,St. Louis,V.Rey,OLB,12-2015
CIN-2015-92,CIN,Face Mask (15 Yards),12/06/2015,Cleveland,C.Dunlap,DE,13-2015
CIN-2015-93,CIN,Face Mask (15 Yards),12/06/2015,Cleveland,D.Kirkpatrick,CB,13-2015
CIN-2015-94,CIN,False Start,12/06/2015,Cleveland,A.Smith,T,13-2015
CIN-2015-95,CIN,False Start,12/06/2015,Cleveland,R.Hewitt,TE,13-2015
CIN-2015-96,CIN,Face Mask (15 Yards),12/06/2015,Cleveland,A.Jones,CB,13-2015
CIN-2015-97,CIN,Horse Collar Tackle,12/06/2015,Cleveland,A.Jones,CB,13-2015
CIN-2015-98,CIN,Unnecessary Roughness,12/13/2015,Pittsburgh,D.Kirkpatrick,CB,14-2015
CIN-2015-99,CIN,Illegal Block Above the Waist,12/13/2015,Pittsburgh,C.Uzomah,TE,14-2015
CIN-2015-100,CIN,Defensive Holding,12/13/2015,Pittsburgh,D.Kirkpatrick,CB,14-2015
CIN-2015-101,CIN,Defensive Holding,12/13/2015,Pittsburgh,D.Kirkpatrick,CB,14-2015
CIN-2015-102,CIN,Offensive Holding,12/13/2015,Pittsburgh,A.Whitworth,T,14-2015
CIN-2015-103,CIN,Unnecessary Roughness,12/13/2015,Pittsburgh,V.Burfict,OLB,14-2015
CIN-2015-104,CIN,Neutral Zone Infraction,12/20/2015,San Francisco,G.Atkins,DT,15-2015
CIN-2015-105,CIN,Offensive Holding,12/20/2015,San Francisco,T.Kroft,TE,15-2015
CIN-2015-106,CIN,Offensive Holding,12/20/2015,San Francisco,M.Jones,WR,15-2015
CIN-2015-107,CIN,False Start,12/20/2015,San Francisco,A.Smith,T,15-2015
CIN-2015-108,CIN,Defensive 12 On-field,12/20/2015,San Francisco,E.Lamur,OLB,15-2015
CIN-2015-109,CIN,Offensive Holding,12/20/2015,San Francisco,R.Bodine,C,15-2015
CIN-2015-110,CIN,Offensive Holding,12/20/2015,San Francisco,R.Bodine,C,15-2015
CIN-2015-111,CIN,Defensive Holding,12/20/2015,San Francisco,D.Kirkpatrick,CB,15-2015
CIN-2015-112,CIN,Illegal Use of Hands,12/28/2015,Denver,R.Maualuga,MLB,16-2015
CIN-2015-113,CIN,Illegal Contact,12/28/2015,Denver,A.Jones,CB,16-2015
CIN-2015-114,CIN,False Start,12/28/2015,Denver,K.Zeitler,G,16-2015
CIN-2015-115,CIN,Offensive Holding,12/28/2015,Denver,A.Whitworth,T,16-2015
CIN-2015-116,CIN,Neutral Zone Infraction,12/28/2015,Denver,G.Atkins,DT,16-2015
CIN-2015-117,CIN,Unnecessary Roughness,12/28/2015,Denver,V.Burfict,OLB,16-2015
,CIN,False Start,01/03/2016,Baltimore,J.Fisher,17-2015,CIN-2015-118
CIN-2015-119,CIN,Offensive Holding,01/03/2016,Baltimore,A.Whitworth,T,17-2015
CIN-2015-120,CIN,Offensive Holding,01/03/2016,Baltimore,C.Boling,G,17-2015
CIN-2015-121,CIN,Ineligible Downfield Pass,01/03/2016,Baltimore,K.Zeitler,G,17-2015
CIN-2015-122,CIN,Offensive Holding,01/03/2016,Baltimore,R.Bodine,C,17-2015
CIN-2015-123,CIN,False Start,01/03/2016,Baltimore,A.Green,WR,17-2015
CIN-2015-124,CIN,Neutral Zone Infraction,01/03/2016,Baltimore,C.Dunlap,DE,17-2015
,CIN,False Start,01/03/2016,Baltimore,C.Ogbuehi,17-2015,CIN-2015-125
CIN-2015-126,CIN,Defensive Pass Interference,01/03/2016,Baltimore,D.Kirkpatrick,CB,17-2015
CIN-2015-127,CIN,Delay of Game,01/03/2016,Baltimore,A.McCarron,QB,17-2015
CIN-2015-128,CIN,Defensive Holding,01/03/2016,Baltimore,V.Burfict,OLB,17-2015
CIN-2015-129,CIN,Delay of Game,01/03/2016,Baltimore,K.Huber,P,17-2015
CIN-2015-130,CIN,False Start,01/09/2016,Pittsburgh,A.Whitworth,T,18-2015
CIN-2015-131,CIN,False Start,01/09/2016,Pittsburgh,A.Whitworth,T,18-2015
CIN-2015-132,CIN,Defensive Holding,01/09/2016,Pittsburgh,V.Burfict,OLB,18-2015
CIN-2015-133,CIN,Offensive Holding,01/09/2016,Pittsburgh,P.Dawson,OLB,18-2015
CIN-2015-134,CIN,Illegal Contact,01/09/2016,Pittsburgh,R.Maualuga,MLB,18-2015
CIN-2015-135,CIN,Unsportsmanlike Conduct,01/09/2016,Pittsburgh,D.Peko,DT,18-2015
CIN-2015-136,CIN,Unnecessary Roughness,01/09/2016,Pittsburgh,S.Williams,SS,18-2015
CIN-2015-137,CIN,Unnecessary Roughness,01/09/2016,Pittsburgh,V.Burfict,OLB,18-2015
CIN-2015-138,CIN,Personal Foul,01/09/2016,Pittsburgh,A.Jones,CB,18-2015
