Team,Penalty,NDate,Opponent,Player,Position,Week,Year,PenaltyIndex
BUF,Defensive Offside,12/24/2011,DEN,A.Moats,OLB,16,2011,BUF-2011-90
BUF,Offensive Holding,01/01/2012,NE,A.Levitre,G,17,2011,BUF-2011-91
BUF,Unsportsmanlike Conduct,01/01/2012,NE,S.Johnson,WR,17,2011,BUF-2011-92
BUF,Illegal Contact,01/01/2012,NE,D.Searcy,DB,17,2011,BUF-2011-93
BUF,Offensive Holding,01/01/2012,NE,A.Levitre,G,17,2011,BUF-2011-94
BUF,Defensive Holding,01/01/2012,NE,A.Williams,FS,17,2011,BUF-2011-95
BUF,Personal Foul,01/01/2012,NE,D.Florence,DB,17,2011,BUF-2011-96
BUF,Delay of Game,01/01/2012,NE,R.Fitzpatrick,QB,17,2011,BUF-2011-97
BUF,Illegal Contact,01/01/2012,NE,K.Morrison,LB,17,2011,BUF-2011-98
MIA,Offensive Holding,09/12/2011,NE,A.Fasano,TE,1,2011,MIA-2011-0
MIA,Offensive Holding,09/12/2011,NE,R.Incognito,C,1,2011,MIA-2011-1
MIA,Defensive Offside,09/12/2011,NE,P.Merling,DE,1,2011,MIA-2011-2
MIA,Offensive Holding,09/12/2011,NE,R.Wallace,WR,1,2011,MIA-2011-3
MIA,Offensive Holding,09/12/2011,NE,R.Incognito,C,1,2011,MIA-2011-4
MIA,Encroachment,09/12/2011,NE,R.Starks,DT,1,2011,MIA-2011-5
MIA,Offensive Holding,09/12/2011,NE,J.Trusnik,LB,1,2011,MIA-2011-6
MIA,False Start,09/12/2011,NE,L.Hilliard,FB,1,2011,MIA-2011-7
MIA,Offensive Holding,09/18/2011,HOU,J.Trusnik,LB,2,2011,MIA-2011-8
MIA,False Start,09/18/2011,HOU,J.Long,T,2,2011,MIA-2011-9
MIA,Offensive Holding,09/18/2011,HOU,M.Colombo,T,2,2011,MIA-2011-10
MIA,Offensive Holding,09/25/2011,CLE,A.Fasano,TE,3,2011,MIA-2011-11
MIA,Illegal Formation,09/25/2011,CLE,J.Mastrud,TE,3,2011,MIA-2011-12
MIA,Offensive Holding,09/25/2011,CLE,N.Garner,G,3,2011,MIA-2011-13
MIA,False Start,09/25/2011,CLE,A.Fasano,TE,3,2011,MIA-2011-14
MIA,Unnecessary Roughness,09/25/2011,CLE,B.Marshall,WR,3,2011,MIA-2011-15
MIA,Roughing the Passer,09/25/2011,CLE,Y.Bell,SS,3,2011,MIA-2011-16
MIA,Offensive Holding,09/25/2011,CLE,J.Jerry,G,3,2011,MIA-2011-17
MIA,Defensive Pass Interference,09/25/2011,CLE,N.Carroll,CB,3,2011,MIA-2011-18
MIA,Roughing the Passer,09/25/2011,CLE,I.Olshansky,DT,3,2011,MIA-2011-19
MIA,Defensive Offside,09/25/2011,CLE,J.Taylor,CB,3,2011,MIA-2011-20
MIA,Horse Collar Tackle,10/02/2011,SD,A.Fasano,TE,4,2011,MIA-2011-21
MIA,Defensive Pass Interference,10/02/2011,SD,Y.Bell,SS,4,2011,MIA-2011-22
MIA,Roughing the Passer,10/23/2011,DEN,Y.Bell,SS,7,2011,MIA-2011-26
MIA,Offside on Free Kick,10/23/2011,DEN,M.Mitchell,OLB,7,2011,MIA-2011-27
MIA,Defensive Pass Interference,11/06/2011,KC,J.Wilson,DB,9,2011,MIA-2011-33
MIA,Defensive Pass Interference,11/06/2011,KC,J.Wilson,DB,9,2011,MIA-2011-34
MIA,Personal Foul,11/06/2011,KC,Y.Bell,SS,9,2011,MIA-2011-35
MIA,Unnecessary Roughness,11/06/2011,KC,Y.Bell,SS,9,2011,MIA-2011-36
MIA,Unsportsmanlike Conduct,11/06/2011,KC,Y.Bell,SS,9,2011,MIA-2011-37
MIA,Unnecessary Roughness,11/06/2011,KC,M.Colombo,T,9,2011,MIA-2011-38
MIA,False Start,11/06/2011,KC,M.Mitchell,OLB,9,2011,MIA-2011-39
MIA,Roughing the Passer,11/13/2011,WAS,P.Soliai,DT,10,2011,MIA-2011-40
MIA,Offensive Holding,11/13/2011,WAS,R.Incognito,C,10,2011,MIA-2011-41
MIA,Encroachment,11/13/2011,WAS,R.Starks,DT,10,2011,MIA-2011-42
MIA,False Start,11/13/2011,WAS,B.Hartline,WR,10,2011,MIA-2011-43
MIA,Roughing the Passer,11/13/2011,WAS,I.Olshansky,DT,10,2011,MIA-2011-44
MIA,Roughing the Passer,11/13/2011,WAS,J.Odrick,DT,10,2011,MIA-2011-45
MIA,Defensive Offside,11/13/2011,WAS,J.Odrick,DT,10,2011,MIA-2011-46
MIA,Offensive Holding,11/20/2011,BUF,J.Mastrud,TE,11,2011,MIA-2011-47
MIA,Offensive Holding,11/20/2011,BUF,J.Mastrud,TE,11,2011,MIA-2011-48
MIA,Defensive Pass Interference,11/20/2011,BUF,V.Davis,CB,11,2011,MIA-2011-49
MIA,Personal Foul,11/20/2011,BUF,T.Culver,DB,11,2011,MIA-2011-50
MIA,Defensive Pass Interference,11/24/2011,DAL,S.Smith,CB,12,2011,MIA-2011-51
MIA,False Start,11/24/2011,DAL,J.Long,T,12,2011,MIA-2011-52
MIA,False Start,11/24/2011,DAL,J.Long,T,12,2011,MIA-2011-53
MIA,Offensive Holding,11/24/2011,DAL,J.Long,T,12,2011,MIA-2011-54
MIA,False Start,11/24/2011,DAL,M.Colombo,T,12,2011,MIA-2011-55
MIA,False Start,11/24/2011,DAL,J.Long,T,12,2011,MIA-2011-56
MIA,False Start,12/04/2011,OAK,A.Fasano,TE,13,2011,MIA-2011-57
MIA,Offensive Holding,12/04/2011,OAK,R.Incognito,C,13,2011,MIA-2011-58
MIA,Illegal Contact,12/04/2011,OAK,K.Burnett,LB,13,2011,MIA-2011-59
MIA,Personal Foul,12/04/2011,OAK,R.Incognito,C,13,2011,MIA-2011-60
MIA,Offensive Holding,12/04/2011,OAK,R.Jones,SS,13,2011,MIA-2011-61
MIA,Roughing the Passer,12/04/2011,OAK,C.Wake,DE,13,2011,MIA-2011-62
MIA,Offensive Holding,12/04/2011,OAK,M.Pouncey,C,13,2011,MIA-2011-63
MIA,Face Mask (15 Yards),12/11/2011,PHI,W.Allen,DB,14,2011,MIA-2011-64
MIA,Offensive Holding,12/11/2011,PHI,M.Pouncey,C,14,2011,MIA-2011-65
MIA,Unnecessary Roughness,12/11/2011,PHI,R.Incognito,C,14,2011,MIA-2011-66
MIA,Offensive Holding,12/11/2011,PHI,M.Pouncey,C,14,2011,MIA-2011-67
MIA,Face Mask (15 Yards),12/11/2011,PHI,P.Soliai,DT,14,2011,MIA-2011-68
MIA,Face Mask (15 Yards),12/11/2011,PHI,N.Garner,G,14,2011,MIA-2011-69
MIA,Offensive Holding,12/11/2011,PHI,N.Garner,G,14,2011,MIA-2011-70
MIA,Defensive Pass Interference,12/18/2011,BUF,W.Allen,DB,15,2011,MIA-2011-71
MIA,Personal Foul,12/18/2011,BUF,R.Incognito,C,15,2011,MIA-2011-72
MIA,Running Into the Kicker,12/18/2011,BUF,M.Mitchell,OLB,15,2011,MIA-2011-73
MIA,Offensive Holding,12/18/2011,BUF,J.Jerry,G,15,2011,MIA-2011-74
MIA,Illegal Block Above the Waist,12/18/2011,BUF,R.Incognito,C,15,2011,MIA-2011-75
MIA,False Start,12/18/2011,BUF,J.Jerry,G,15,2011,MIA-2011-76
MIA,Unsportsmanlike Conduct,12/18/2011,BUF,R.Bush,RB,15,2011,MIA-2011-77
MIA,Defensive Holding,12/18/2011,BUF,S.Smith,CB,15,2011,MIA-2011-78
MIA,Defensive Offside,12/18/2011,BUF,Y.Bell,SS,15,2011,MIA-2011-79
MIA,False Start,12/24/2011,NE,V.Carey,G,16,2011,MIA-2011-80
MIA,Personal Foul,12/24/2011,NE,J.Mastrud,TE,16,2011,MIA-2011-81
MIA,False Start,12/24/2011,NE,M.Pouncey,C,16,2011,MIA-2011-82
MIA,Neutral Zone Infraction,12/24/2011,NE,K.Langford,DE,16,2011,MIA-2011-83
MIA,Encroachment,12/24/2011,NE,J.Taylor,CB,16,2011,MIA-2011-84
MIA,Offensive Holding,12/24/2011,NE,R.Incognito,C,16,2011,MIA-2011-85
NE,Unnecessary Roughness,09/12/2011,MIA,P.Chung,SS,1,2011,NE-2011-0
NE,Illegal Formation,09/12/2011,MIA,C.Johnson,WR,1,2011,NE-2011-1
NE,False Start,09/12/2011,MIA,D.Branch,WR,1,2011,NE-2011-2
NE,Illegal Block Above the Waist,09/12/2011,MIA,J.Ihedigbo,SS,1,2011,NE-2011-3
NE,Offensive Holding,09/12/2011,MIA,N.Solder,T,1,2011,NE-2011-4
NE,False Start,09/12/2011,MIA,D.Gronkowski,TE,1,2011,NE-2011-5
NE,Illegal Contact,09/12/2011,MIA,R.Dowling,DB,1,2011,NE-2011-6
NE,Offensive Holding,09/12/2011,MIA,M.Light,T,1,2011,NE-2011-7
NE,Defensive Offside,09/12/2011,MIA,K.Arrington,DB,1,2011,NE-2011-8
NE,False Start,09/12/2011,MIA,B.Waters,G,1,2011,NE-2011-9
NE,Offensive Holding,09/18/2011,SD,R.Gronkowski,TE,2,2011,NE-2011-10
NE,Roughing the Passer,09/18/2011,SD,A.Carter,DE,2,2011,NE-2011-11
NE,Defensive Holding,09/18/2011,SD,L.Bodden,DB,2,2011,NE-2011-12
NE,Illegal Block Above the Waist,09/18/2011,SD,D.McCourty,FS,2,2011,NE-2011-13
NE,False Start,09/18/2011,SD,D.Gronkowski,TE,2,2011,NE-2011-14
NE,Defensive Holding,09/18/2011,SD,L.Bodden,DB,2,2011,NE-2011-15
NE,Defensive Pass Interference,09/18/2011,SD,S.Brown,DB,2,2011,NE-2011-16
NE,Offensive Holding,09/18/2011,SD,M.Light,T,2,2011,NE-2011-17
NE,False Start,09/25/2011,BUF,R.Gronkowski,TE,3,2011,NE-2011-18
NE,Illegal Use of Hands,09/25/2011,BUF,N.Solder,T,3,2011,NE-2011-19
NE,Roughing the Passer,09/25/2011,BUF,R.Ninkovich,DE,3,2011,NE-2011-20
NE,Offensive Holding,09/25/2011,BUF,L.Mankins,G,3,2011,NE-2011-21
NE,Roughing the Passer,09/25/2011,BUF,K.Love,DT,3,2011,NE-2011-22
NE,Illegal Contact,09/25/2011,BUF,L.Bodden,DB,3,2011,NE-2011-23
NE,Defensive Pass Interference,09/25/2011,BUF,S.Brown,DB,3,2011,NE-2011-24
NE,False Start,09/25/2011,BUF,L.Mankins,G,3,2011,NE-2011-25
NE,Unsportsmanlike Conduct,09/25/2011,BUF,V.Wilfork,NT,3,2011,NE-2011-26
NE,Offensive Holding,10/02/2011,OAK,D.Connolly,G,4,2011,NE-2011-27
NE,Illegal Motion,10/02/2011,OAK,W.Welker,WR,4,2011,NE-2011-28
NE,Unnecessary Roughness,10/02/2011,OAK,P.Chung,SS,4,2011,NE-2011-29
NE,Offensive Holding,10/02/2011,OAK,B.Waters,G,4,2011,NE-2011-30
NE,Illegal Block Above the Waist,10/16/2011,DAL,D.Fletcher,LB,6,2011,NE-2011-36
NE,Defensive Pass Interference,10/16/2011,DAL,D.McCourty,FS,6,2011,NE-2011-37
NE,Offensive Holding,10/16/2011,DAL,N.Solder,T,6,2011,NE-2011-38
NE,False Start,10/16/2011,DAL,W.Welker,WR,6,2011,NE-2011-39
NE,False Start,10/16/2011,DAL,D.Branch,WR,6,2011,NE-2011-40
NE,False Start,10/30/2011,PIT,L.Mankins,G,8,2011,NE-2011-41
NE,Defensive Pass Interference,10/30/2011,PIT,P.Chung,SS,8,2011,NE-2011-42
NE,False Start,10/30/2011,PIT,L.Mankins,G,8,2011,NE-2011-43
NE,False Start,10/30/2011,PIT,M.Light,T,8,2011,NE-2011-44
NE,Chop Block,10/30/2011,PIT,K.Faulk,RB,8,2011,NE-2011-45
NE,False Start,10/30/2011,PIT,S.Vollmer,T,8,2011,NE-2011-46
NE,Intentional Grounding,11/21/2011,KC,T.Brady,QB,11,2011,NE-2011-61
NE,False Start,11/21/2011,KC,L.Mankins,G,11,2011,NE-2011-62
NE,Unsportsmanlike Conduct,11/21/2011,KC,L.Mankins,G,11,2011,NE-2011-63
NE,False Start,11/27/2011,PHI,D.Thomas,G,12,2011,NE-2011-64
NE,Clipping,11/27/2011,PHI,N.Solder,T,12,2011,NE-2011-65
NE,Illegal Contact,11/27/2011,PHI,P.Adams,DB,12,2011,NE-2011-66
NE,Offensive Holding,11/27/2011,PHI,B.Waters,G,12,2011,NE-2011-67
NE,Offensive Holding,11/27/2011,PHI,B.Waters,G,12,2011,NE-2011-68
NE,Defensive Pass Interference,11/27/2011,PHI,K.Arrington,DB,12,2011,NE-2011-69
NE,Offensive Holding,12/04/2011,IND,M.Light,T,13,2011,NE-2011-70
NE,Encroachment,12/04/2011,IND,G.Guyton,LB,13,2011,NE-2011-71
NE,Defensive Pass Interference,12/11/2011,WAS,D.McCourty,FS,14,2011,NE-2011-72
NE,Roughing the Passer,12/11/2011,WAS,A.Carter,DE,14,2011,NE-2011-73
NE,Offensive Holding,12/11/2011,WAS,M.Light,T,14,2011,NE-2011-74
NE,Unnecessary Roughness,12/11/2011,WAS,V.Wilfork,NT,14,2011,NE-2011-75
NE,Defensive Holding,12/11/2011,WAS,J.Edelman,WR,14,2011,NE-2011-76
NE,Delay of Game,12/18/2011,DEN,T.Brady,QB,15,2011,NE-2011-77
NE,Offensive Holding,12/18/2011,DEN,R.Wendell,G,15,2011,NE-2011-78
NE,Defensive Holding,12/18/2011,DEN,V.Wilfork,NT,15,2011,NE-2011-79
NE,Offensive Holding,12/18/2011,DEN,J.Edelman,WR,15,2011,NE-2011-80
